group,start_date,end_date,cluster_id,centroid,volume,report_ids
infrastructure,2025-02-04 16:36:23.839000+00:00,2025-02-04 17:06:23.839000+00:00,0,"(np.float64(43.722638625), np.float64(10.389183325))",8,"['2WblUNhm2PUsFmXFDPqs', '7s0o0FafOmDqMjRqBSfk', 'ChemhCHJ49rhYoBSybm2', 'J4aSMpHmUg7YGNMuvhhf', 'KfVPGnQX8RqCoqIhKJQi', 'Q0uY9xYPrBYe7uqMQeep', 'Ubk9eIrycchYRti3UnXB', 'daXJqT7DmwRxyw2jb7JJ']"
infrastructure,2025-02-04 16:36:23.839000+00:00,2025-02-04 17:06:23.839000+00:00,1,"(np.float64(43.72212988571429), np.float64(10.396055114285714))",7,"['2kXmDt5hWg99jHCenAP2', '4qnQagTPB2lEik6079eu', '6Pmh3cw4cFS3tJ7WQ9aa', 'ZavhZz9UytUlPMD6ROmQ', 'dgBvN9eFUqpwDMuAnJex', 'noSQ5spVKQOcaJLsDVx4', 'sfdGPmo51dULctvtwcfw']"
infrastructure,2025-02-04 16:36:23.839000+00:00,2025-02-04 17:06:23.839000+00:00,2,"(np.float64(43.72275196), np.float64(10.39242818))",5,"['ANBacocLc7EpB4mar866', 'Aal8jOrlsBz8cu4tj6DK', 'Cb8XZnvZBp1jHATMzEXp', 'GwuEAz89IKFSWPTDQsJd', 'ya0hbXxIwgXtgqnlsVZU']"
infrastructure,2025-02-04 16:41:23.839000+00:00,2025-02-04 17:11:23.839000+00:00,0,"(np.float64(43.722638625), np.float64(10.389183325))",8,"['2WblUNhm2PUsFmXFDPqs', '7s0o0FafOmDqMjRqBSfk', 'ChemhCHJ49rhYoBSybm2', 'J4aSMpHmUg7YGNMuvhhf', 'KfVPGnQX8RqCoqIhKJQi', 'Q0uY9xYPrBYe7uqMQeep', 'Ubk9eIrycchYRti3UnXB', 'daXJqT7DmwRxyw2jb7JJ']"
infrastructure,2025-02-04 16:41:23.839000+00:00,2025-02-04 17:11:23.839000+00:00,1,"(np.float64(43.72275196), np.float64(10.39242818))",5,"['ANBacocLc7EpB4mar866', 'Aal8jOrlsBz8cu4tj6DK', 'Cb8XZnvZBp1jHATMzEXp', 'GwuEAz89IKFSWPTDQsJd', 'ya0hbXxIwgXtgqnlsVZU']"
infrastructure,2025-02-04 16:46:23.839000+00:00,2025-02-04 17:16:23.839000+00:00,0,"(np.float64(43.722638625), np.float64(10.389183325))",8,"['2WblUNhm2PUsFmXFDPqs', '7s0o0FafOmDqMjRqBSfk', 'ChemhCHJ49rhYoBSybm2', 'J4aSMpHmUg7YGNMuvhhf', 'KfVPGnQX8RqCoqIhKJQi', 'Q0uY9xYPrBYe7uqMQeep', 'Ubk9eIrycchYRti3UnXB', 'daXJqT7DmwRxyw2jb7JJ']"
infrastructure,2025-02-04 19:26:23.839000+00:00,2025-02-04 19:56:23.839000+00:00,0,"(np.float64(43.723005), np.float64(10.3900078))",1,['uZpp5THezq836yi8xlAa']
infrastructure,2025-02-04 19:31:23.839000+00:00,2025-02-04 20:01:23.839000+00:00,0,"(np.float64(43.723005), np.float64(10.3900078))",1,['uZpp5THezq836yi8xlAa']
infrastructure,2025-02-04 19:36:23.839000+00:00,2025-02-04 20:06:23.839000+00:00,0,"(np.float64(43.723005), np.float64(10.3900078))",1,['uZpp5THezq836yi8xlAa']
infrastructure,2025-02-04 19:41:23.839000+00:00,2025-02-04 20:11:23.839000+00:00,0,"(np.float64(43.723005), np.float64(10.3900078))",1,['uZpp5THezq836yi8xlAa']
infrastructure,2025-02-04 19:46:23.839000+00:00,2025-02-04 20:16:23.839000+00:00,0,"(np.float64(43.723005), np.float64(10.3900078))",4,"['4aUtV28ugKwxxgXfdOXe', 'TO0OlAlSipVUSMzHKRQ6', 'uZpp5THezq836yi8xlAa', 'yaNciA6j9yiBxex5N9zv']"
aesthetic,2025-02-04 16:11:23.839000+00:00,2025-02-04 16:41:23.839000+00:00,0,"(np.float64(43.720010923076934), np.float64(10.398749423076923))",13,"['CFv0iSM82WcsD9EiqAaa', 'CNaTvCCcXzqqEHitkRhc', 'Fq7tLkUFsczCebwS0X8Q', 'PevIO2foRkC0BnnNalHd', 'TtnYeMDPpVfTuVvshIO2', 'VJX14tHPkl0AFdxyuo6f', 'YPEzfOr3kDINbA4OpkfK', 'aaR0pKG0QoQoSCkj1d5e', 'b5F8ZfF8UhFXVuUXS0BB', 'dV75EspZTSmot6TAPihx', 'i7FuMYj9KuYtEl9Tv20y', 'ldaKun7guuqm7pZZvyeg', 'vNs5GfjhCgREhhl7chbL']"
aesthetic,2025-02-04 16:16:23.839000+00:00,2025-02-04 16:46:23.839000+00:00,0,"(np.float64(43.720010923076934), np.float64(10.398749423076923))",13,"['CFv0iSM82WcsD9EiqAaa', 'CNaTvCCcXzqqEHitkRhc', 'Fq7tLkUFsczCebwS0X8Q', 'PevIO2foRkC0BnnNalHd', 'TtnYeMDPpVfTuVvshIO2', 'VJX14tHPkl0AFdxyuo6f', 'YPEzfOr3kDINbA4OpkfK', 'aaR0pKG0QoQoSCkj1d5e', 'b5F8ZfF8UhFXVuUXS0BB', 'dV75EspZTSmot6TAPihx', 'i7FuMYj9KuYtEl9Tv20y', 'ldaKun7guuqm7pZZvyeg', 'vNs5GfjhCgREhhl7chbL']"
aesthetic,2025-02-04 16:16:23.839000+00:00,2025-02-04 16:46:23.839000+00:00,1,"(np.float64(43.722841100000004), np.float64(10.390822225))",4,"['K8FoFnFF7t6Qw97X94BU', 'Kox1jCECrbH8x6MG1edi', 'P58ws7xMTeeGIHA6ajaB', 'uJoIVbIPONdwwmZuHdMz']"
aesthetic,2025-02-04 16:21:23.839000+00:00,2025-02-04 16:51:23.839000+00:00,0,"(np.float64(43.722163472727274), np.float64(10.389179590909091))",11,"['0PKmhq8pV37KK8LOR2h3', 'K8FoFnFF7t6Qw97X94BU', 'Kox1jCECrbH8x6MG1edi', 'L5JylzeLWvqREObdMLMe', 'P58ws7xMTeeGIHA6ajaB', 'TzgisYPM5fuy6is25uWk', 'Uk53dYNxb4p0TS49ocpO', 'dzIFxX6AzEIizf5MlYcw', 'mJMOibpysNWa4LjaJkmK', 'uE96vhDKM4vQEx7Y3UCb', 'uJoIVbIPONdwwmZuHdMz']"
aesthetic,2025-02-04 16:21:23.839000+00:00,2025-02-04 16:51:23.839000+00:00,1,"(np.float64(43.720010923076934), np.float64(10.398749423076923))",13,"['CFv0iSM82WcsD9EiqAaa', 'CNaTvCCcXzqqEHitkRhc', 'Fq7tLkUFsczCebwS0X8Q', 'PevIO2foRkC0BnnNalHd', 'TtnYeMDPpVfTuVvshIO2', 'VJX14tHPkl0AFdxyuo6f', 'YPEzfOr3kDINbA4OpkfK', 'aaR0pKG0QoQoSCkj1d5e', 'b5F8ZfF8UhFXVuUXS0BB', 'dV75EspZTSmot6TAPihx', 'i7FuMYj9KuYtEl9Tv20y', 'ldaKun7guuqm7pZZvyeg', 'vNs5GfjhCgREhhl7chbL']"
aesthetic,2025-02-04 16:26:23.839000+00:00,2025-02-04 16:56:23.839000+00:00,0,"(np.float64(43.721930642857146), np.float64(10.388928064285716))",14,"['0PKmhq8pV37KK8LOR2h3', 'Ezul9B672KBEVISREUUa', 'HXHO4Leyl731ElkS7Ys1', 'K8FoFnFF7t6Qw97X94BU', 'Kox1jCECrbH8x6MG1edi', 'L5JylzeLWvqREObdMLMe', 'P58ws7xMTeeGIHA6ajaB', 'TzgisYPM5fuy6is25uWk', 'Uk53dYNxb4p0TS49ocpO', 'cfNePyZR4isHghBDixqO', 'dzIFxX6AzEIizf5MlYcw', 'mJMOibpysNWa4LjaJkmK', 'uE96vhDKM4vQEx7Y3UCb', 'uJoIVbIPONdwwmZuHdMz']"
aesthetic,2025-02-04 16:26:23.839000+00:00,2025-02-04 16:56:23.839000+00:00,1,"(np.float64(43.720010923076934), np.float64(10.398749423076923))",13,"['CFv0iSM82WcsD9EiqAaa', 'CNaTvCCcXzqqEHitkRhc', 'Fq7tLkUFsczCebwS0X8Q', 'PevIO2foRkC0BnnNalHd', 'TtnYeMDPpVfTuVvshIO2', 'VJX14tHPkl0AFdxyuo6f', 'YPEzfOr3kDINbA4OpkfK', 'aaR0pKG0QoQoSCkj1d5e', 'b5F8ZfF8UhFXVuUXS0BB', 'dV75EspZTSmot6TAPihx', 'i7FuMYj9KuYtEl9Tv20y', 'ldaKun7guuqm7pZZvyeg', 'vNs5GfjhCgREhhl7chbL']"
aesthetic,2025-02-04 16:31:23.839000+00:00,2025-02-04 17:01:23.839000+00:00,0,"(np.float64(43.721930642857146), np.float64(10.388928064285716))",14,"['0PKmhq8pV37KK8LOR2h3', 'Ezul9B672KBEVISREUUa', 'HXHO4Leyl731ElkS7Ys1', 'K8FoFnFF7t6Qw97X94BU', 'Kox1jCECrbH8x6MG1edi', 'L5JylzeLWvqREObdMLMe', 'P58ws7xMTeeGIHA6ajaB', 'TzgisYPM5fuy6is25uWk', 'Uk53dYNxb4p0TS49ocpO', 'cfNePyZR4isHghBDixqO', 'dzIFxX6AzEIizf5MlYcw', 'mJMOibpysNWa4LjaJkmK', 'uE96vhDKM4vQEx7Y3UCb', 'uJoIVbIPONdwwmZuHdMz']"
aesthetic,2025-02-04 16:31:23.839000+00:00,2025-02-04 17:01:23.839000+00:00,1,"(np.float64(43.71995625), np.float64(10.3979317125))",8,"['CFv0iSM82WcsD9EiqAaa', 'Fq7tLkUFsczCebwS0X8Q', 'aaR0pKG0QoQoSCkj1d5e', 'b5F8ZfF8UhFXVuUXS0BB', 'dV75EspZTSmot6TAPihx', 'i7FuMYj9KuYtEl9Tv20y', 'ldaKun7guuqm7pZZvyeg', 'vNs5GfjhCgREhhl7chbL']"
aesthetic,2025-02-04 16:36:23.839000+00:00,2025-02-04 17:06:23.839000+00:00,0,"(np.float64(43.721930642857146), np.float64(10.388928064285716))",14,"['0PKmhq8pV37KK8LOR2h3', 'Ezul9B672KBEVISREUUa', 'HXHO4Leyl731ElkS7Ys1', 'K8FoFnFF7t6Qw97X94BU', 'Kox1jCECrbH8x6MG1edi', 'L5JylzeLWvqREObdMLMe', 'P58ws7xMTeeGIHA6ajaB', 'TzgisYPM5fuy6is25uWk', 'Uk53dYNxb4p0TS49ocpO', 'cfNePyZR4isHghBDixqO', 'dzIFxX6AzEIizf5MlYcw', 'mJMOibpysNWa4LjaJkmK', 'uE96vhDKM4vQEx7Y3UCb', 'uJoIVbIPONdwwmZuHdMz']"
aesthetic,2025-02-04 16:41:23.839000+00:00,2025-02-04 17:11:23.839000+00:00,0,"(np.float64(43.721930642857146), np.float64(10.388928064285716))",14,"['0PKmhq8pV37KK8LOR2h3', 'Ezul9B672KBEVISREUUa', 'HXHO4Leyl731ElkS7Ys1', 'K8FoFnFF7t6Qw97X94BU', 'Kox1jCECrbH8x6MG1edi', 'L5JylzeLWvqREObdMLMe', 'P58ws7xMTeeGIHA6ajaB', 'TzgisYPM5fuy6is25uWk', 'Uk53dYNxb4p0TS49ocpO', 'cfNePyZR4isHghBDixqO', 'dzIFxX6AzEIizf5MlYcw', 'mJMOibpysNWa4LjaJkmK', 'uE96vhDKM4vQEx7Y3UCb', 'uJoIVbIPONdwwmZuHdMz']"
aesthetic,2025-02-04 16:46:23.839000+00:00,2025-02-04 17:16:23.839000+00:00,0,"(np.float64(43.72156646), np.float64(10.388170399999998))",10,"['0PKmhq8pV37KK8LOR2h3', 'Ezul9B672KBEVISREUUa', 'HXHO4Leyl731ElkS7Ys1', 'L5JylzeLWvqREObdMLMe', 'TzgisYPM5fuy6is25uWk', 'Uk53dYNxb4p0TS49ocpO', 'cfNePyZR4isHghBDixqO', 'dzIFxX6AzEIizf5MlYcw', 'mJMOibpysNWa4LjaJkmK', 'uE96vhDKM4vQEx7Y3UCb']"
aesthetic,2025-02-04 16:51:23.839000+00:00,2025-02-04 17:21:23.839000+00:00,0,"(np.float64(43.721076933333336), np.float64(10.3880058))",3,"['Ezul9B672KBEVISREUUa', 'HXHO4Leyl731ElkS7Ys1', 'cfNePyZR4isHghBDixqO']"
